level,algorithm,heuristic,success,cost,expanded_nodes,frontier_nodes,elapsed_seconds,operations_done,solution_length,solution,error
Microban IV - 1.level,dfs - collapsed,,True,34,19,8,0.004044701927341521,31,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,bfs - collapsed,,True,30,35,3,0.009514875942841172,64,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,astar - collapsed,unique_min_goal_distance,True,30,32,11,0.006279806955717504,59,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,astar - collapsed,player_distance,True,30,32,11,0.006743144942447543,59,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy - collapsed,hungarian_matching,True,34,18,13,0.008559208014048636,33,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,astar - collapsed,hungarian_matching,True,30,32,11,0.011918400065042078,59,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,astar - collapsed,min_goal_distance,True,30,32,11,0.012894902960397303,59,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy - collapsed,unique_min_goal_distance,True,34,18,13,0.005263640079647303,33,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,greedy - collapsed,player_distance,True,34,19,14,0.012078090920113027,35,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,greedy - collapsed,min_goal_distance,True,34,19,14,0.0077786489855498075,35,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
