level,algorithm,heuristic,success,cost,expanded_nodes,frontier_nodes,elapsed_seconds,operations_done,solution_length,solution,error
Microban IV - 1.level,dfs,,True,52,180,20,0.014452809933573008,440,52,↓←↓←←↑→→→↑→→↓←↓←←→→↑↑←↓→↓←↑←←←↓↓→↑←↑→→→↓←↑←←↓↓→↑←↑→→,
Microban IV - 1.level,bfs,,True,30,205,10,0.01798830204643309,499,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,astar,player_distance,True,30,185,13,0.012693868018686771,451,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy,min_goal_distance,True,34,159,11,0.014638063032180071,380,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,astar,min_goal_distance,True,30,193,10,0.018501110025681555,469,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy,unique_min_goal_distance,True,34,157,16,0.016117683961056173,376,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,astar,unique_min_goal_distance,True,30,191,11,0.02318189898505807,465,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy,hungarian_matching,True,34,157,16,0.02479522197972983,376,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→↓←←←↑→→,
Microban IV - 1.level,astar,hungarian_matching,True,30,191,11,0.034406129037961364,465,30,↓←↓←←↑→→→↑→→↓←↓←←↑→←←←↓↓→↑←↑→→,
Microban IV - 1.level,greedy,player_distance,True,34,144,45,0.021713622962124646,349,34,↓←↓←←↑→→→↑→→↓←↓←←↑←←↓↓→↑→↑→←↓←←↑→→,
