number,value,datetime_start,datetime_complete,duration,params_add_triangle_prob,params_crossover_prob,params_elitism,params_funsearch_penalty,params_funsearch_temperature,params_mutation_prob,params_num_triangles,params_p_comp,params_p_tri,params_pop_size,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.854655921459198,2026-09-09 00:00:42.709447,2026-09-09 00:03:13.183682,0 days 00:02:30.474235,0.01,0.85,2,0.0,1.0,0.2,50,0.2,0.3,50,"{'pop_size': 50, 'num_triangles': 50, 'crossover_prob': 0.85, 'mutation_prob': 0.2, 'add_triangle_prob': 0.01, 'p_tri': 0.3, 'p_comp': 0.2, 'funsearch_temperature': 1.0, 'funsearch_penalty': 0.0, 'elitism': 2}",,COMPLETE
1,0.8968890905380249,2026-09-09 00:03:13.184187,2026-09-09 00:05:43.384077,0 days 00:02:30.199890,0.007800932022121826,0.7587945476302645,27,0.6011150117432088,5.3994844097874335,0.0638792635777333,97,0.03846096996241773,0.22479561626896213,387,,,COMPLETE
2,0.847291111946106,2026-09-09 00:05:43.384685,2026-09-09 00:08:13.808869,0 days 00:02:30.424184,0.009091248360355032,0.8491983767203796,2,0.43194501864211576,1.1207606211860568,0.029110519961044856,98,0.1590786990501735,0.24672360788274705,40,,,COMPLETE
3,0.8633255958557129,2026-09-09 00:08:13.809259,2026-09-09 00:10:44.028993,0 days 00:02:30.219734,0.0228034992108518,0.3629301836816964,3,0.5924145688620425,1.0677482709481354,0.04297256589643226,39,0.10784015325759626,0.728140769114411,620,,,COMPLETE
4,0.8694896101951599,2026-09-09 00:10:44.029348,2026-09-09 00:13:14.242443,0 days 00:02:30.213095,0.04828160165372797,0.1585464336867516,27,0.6842330265121569,0.1567993391672301,0.0953996983528,42,0.15926074689495165,0.746717878493169,616,,,COMPLETE
5,0.8540566563606262,2026-09-09 00:13:14.242849,2026-09-09 00:15:44.482871,0 days 00:02:30.240022,0.012938999080000846,0.13094966900369656,3,0.5467102793432796,1.0968217207529523,0.09183883618709039,65,0.16273842728381138,0.6300178274831856,139,,,COMPLETE
6,0.8783690929412842,2026-09-09 00:15:44.483366,2026-09-09 00:18:14.669669,0 days 00:02:30.186303,0.02989499894055426,0.9455490474077702,32,0.045227288910538066,0.24658447214487378,0.0905344615384884,85,0.05336132600544055,0.8374993880184934,971,,,COMPLETE
7,0.8688955307006836,2026-09-09 00:18:14.670021,2026-09-09 00:20:44.870566,0 days 00:02:30.200545,0.01404672548436904,0.8458637582367364,40,0.07455064367977082,4.02155452669029,0.04210779940242304,49,0.07905287023763369,0.5341568665265988,401,,,COMPLETE
8,0.8530406355857849,2026-09-09 00:20:44.870950,2026-09-09 00:23:15.097897,0 days 00:02:30.226947,0.035342867192380854,0.10496990541124217,9,0.3584657285442726,0.14063366777718173,0.08339152856093508,44,0.3879224698761134,0.6832057344327899,777,,,COMPLETE
9,0.8534690141677856,2026-09-09 00:23:15.098304,2026-09-09 00:25:45.291348,0 days 00:02:30.193044,0.015549116085783111,0.39780822236738433,41,0.8872127425763265,1.8841476921545086,0.015720251525742128,74,0.3675070273856514,0.36014665762139764,866,,,COMPLETE
10,0.8946478366851807,2026-09-09 00:25:45.291725,2026-09-09 00:28:15.530287,0 days 00:02:30.238562,0.005395899733018187,0.40321436561611185,19,0.8826178078888927,7.518949452767222,0.059114310824520906,60,0.11963336879101172,0.10361169713180508,545,,"{""add_triangle_prob"": 0.005395899733018187, ""crossover_prob"": 0.40321436561611185, ""funsearch_penalty"": 0.8826178078888927, ""funsearch_temperature"": 7.518949452767222, ""mutation_prob"": 0.059114310824520906, ""num_triangles"": 60, ""p_comp"": 0.11963336879101172, ""p_tri"": 0.10361169713180508, ""pop_size"": 545}",COMPLETE
