generation,elapsed_time_sec,best,mean,std,worst,best_error,mean_error
1,0.024881362915039062,0.54057527,0.45003026723861694,0.03130217269062996,0.40763670206069946,45.942474,54.996973276138306
2,0.057862281799316406,0.5535275,0.4799819588661194,0.028771791607141495,0.44437849521636963,44.64725,52.00180411338806
3,0.09020805358886719,0.56841755,0.5088961720466614,0.023284023627638817,0.47713732719421387,43.158245,49.11038279533386
4,0.1227715015411377,0.5832617,0.5325714945793152,0.017225082963705063,0.5054176449775696,41.67383,46.74285054206848
5,0.15536975860595703,0.5971007,0.5508235096931458,0.015822628512978554,0.530110239982605,40.289932,44.917649030685425
6,0.1900038719177246,0.6095433,0.568617582321167,0.014656297862529755,0.5473917126655579,39.04567,43.1382417678833
7,0.22290611267089844,0.62908244,0.584387481212616,0.013507341034710407,0.5684059858322144,37.091755,41.5612518787384
8,0.256697416305542,0.6499036,0.5991625785827637,0.014182128012180328,0.5828045606613159,35.00964,40.08374214172363
9,0.2881615161895752,0.66307163,0.6130533814430237,0.014436757192015648,0.5964031219482422,33.692837,38.69466185569763
10,0.32077455520629883,0.66307163,0.6274830102920532,0.012916626408696175,0.6098411083221436,33.692837,37.25169897079468
11,0.347731351852417,0.67266285,0.6405625939369202,0.011302586644887924,0.6255607604980469,32.733715,35.94374060630798
12,0.3803856372833252,0.6762449,0.6516351103782654,0.009639845229685307,0.6400106549263,32.375507,34.83648896217346
13,0.41231727600097656,0.6910763,0.6623739004135132,0.008916315622627735,0.6505405306816101,30.892372,33.76260995864868
14,0.44559741020202637,0.69704545,0.6717010140419006,0.008521366864442825,0.6615457534790039,30.295456,32.82989859580994
15,0.4789156913757324,0.7018472,0.680441677570343,0.00804078672081232,0.670865535736084,29.81528,31.9558322429657
16,0.5127573013305664,0.70916545,0.6885793805122375,0.007090939208865166,0.6786391735076904,29.083454,31.142061948776245
17,0.5443999767303467,0.7212337,0.6964412331581116,0.006120327394455671,0.6884136199951172,27.876627,30.355876684188843
18,0.5782785415649414,0.7212337,0.7030882239341736,0.00551346642896533,0.6958580017089844,27.876627,29.69117760658264
19,0.6065905094146729,0.72635096,0.7085198760032654,0.00506563438102603,0.7022253274917603,27.364904,29.148012399673462
20,0.6400651931762695,0.7289669,0.7139420509338379,0.0046525318175554276,0.7080406546592712,27.103312,28.60579490661621
21,0.6715106964111328,0.72945523,0.7187514305114746,0.0040466212667524815,0.7136363983154297,27.054478,28.12485694885254
22,0.722804069519043,0.7325282,0.7229975461959839,0.0032644302118569613,0.7182837724685669,26.747179,27.70024538040161
23,0.757357120513916,0.7378323,0.7266855239868164,0.0029482911340892315,0.7223226428031921,26.21677,27.33144760131836
24,0.7921359539031982,0.7378323,0.7295870780944824,0.0027499159332364798,0.7262127995491028,26.21677,27.041292190551758
25,0.8185789585113525,0.74240404,0.7323139309883118,0.002682547317817807,0.7289668917655945,25.759596,26.768606901168823
26,0.8508553504943848,0.7478056,0.7352142333984375,0.0025382523890584707,0.7318581342697144,25.21944,26.47857666015625
27,0.8824329376220703,0.7478056,0.7379000186920166,0.0029489146545529366,0.7351000308990479,25.21944,26.20999813079834
28,0.9078269004821777,0.7503692,0.7408968210220337,0.003525825683027506,0.7371597290039062,24.963081,25.91031789779663
29,0.9395883083343506,0.7509552,0.7447003126144409,0.0028444312047213316,0.7402395009994507,24.904478,25.529968738555908
30,0.9738860130310059,0.75234056,0.7475654482841492,0.0017995248781517148,0.7446089386940002,24.765945,25.243455171585083
31,1.006138801574707,0.75899786,0.7496208548545837,0.0018292984459549189,0.747588038444519,24.100214,25.037914514541626
32,1.0377027988433838,0.75913554,0.7514927983283997,0.002082935068756342,0.7492034435272217,24.086445,24.850720167160034
33,1.0727379322052002,0.75975746,0.7535512447357178,0.0023716234136372805,0.7509327530860901,24.024254,24.644875526428223
34,1.1064565181732178,0.7602663,0.7559232711791992,0.002143383724614978,0.7531554102897644,23.97337,24.407672882080078
35,1.138866662979126,0.76129013,0.7581261992454529,0.001381808309815824,0.7556504011154175,23.870987,24.187380075454712
36,1.1715185642242432,0.7625363,0.7595881819725037,0.0007863070932216942,0.7585457563400269,23.746372,24.041181802749634
37,1.204552412033081,0.76723164,0.7604691386222839,0.000955631141550839,0.759392261505127,23.276836,23.953086137771606
38,1.2367451190948486,0.76881105,0.7614786624908447,0.0012768965680152178,0.7602663040161133,23.118895,23.852133750915527
39,1.26698637008667,0.76881105,0.7626767754554749,0.0016690784832462668,0.7612901329994202,23.118895,23.732322454452515
40,1.2938802242279053,0.7691693,0.7642257213592529,0.002182352589443326,0.7622203826904297,23.083073,23.577427864074707
41,1.3257830142974854,0.7701218,0.7663069367408752,0.001913183950819075,0.7632817625999451,22.98782,23.369306325912476
42,1.3579638004302979,0.7713051,0.7682648301124573,0.001012919470667839,0.7669687271118164,22.869492,23.173516988754272
43,1.3894948959350586,0.7713051,0.7693582773208618,0.0008007067954167724,0.7682252526283264,22.869492,23.06417226791382
44,1.414585828781128,0.77332735,0.7702385783195496,0.0006962841143831611,0.7692587971687317,22.667265,22.976142168045044
45,1.4464111328125,0.7743137,0.7710539102554321,0.0007382103358395398,0.7701871395111084,22.56863,22.894608974456787
46,1.478295087814331,0.77496344,0.7718721628189087,0.0008455765200778842,0.7709622979164124,22.503656,22.81278371810913
47,1.5115199089050293,0.77496344,0.7727833986282349,0.0008434160845354199,0.7716721892356873,22.503656,22.721660137176514
48,1.5375633239746094,0.77614033,0.7737065553665161,0.0007194580975919962,0.7727271318435669,22.385967,22.62934446334839
49,1.572305679321289,0.77715945,0.7745309472084045,0.0007216884987428784,0.7736136317253113,22.284054,22.546905279159546
50,1.6054737567901611,0.77780217,0.7752723693847656,0.0007270725909620523,0.7743643522262573,22.219784,22.472763061523438
51,1.6388249397277832,0.7785088,0.7759802937507629,0.0007249496993608773,0.775122880935669,22.149122,22.401970624923706
52,1.6713154315948486,0.7788683,0.7767193913459778,0.000716140610165894,0.7757916450500488,22.113169,22.32806086540222
53,1.7014374732971191,0.77917284,0.7774512767791748,0.0006423072190955281,0.7766208052635193,22.082716,22.25487232208252
54,1.734360694885254,0.7803458,0.7781234383583069,0.0006247000419534743,0.7773211598396301,21.96542,22.18765616416931
55,1.7670619487762451,0.78246164,0.7788811326026917,0.0008321503410115838,0.7779313325881958,21.753836,22.111886739730835
56,1.800309658050537,0.78246164,0.7797086238861084,0.0009136901935562491,0.7787277698516846,21.753836,22.02913761138916
57,1.826430082321167,0.78291535,0.7806888818740845,0.0009506166097708046,0.7794493436813354,21.708466,21.931111812591553
58,1.858407974243164,0.7838366,0.7817019820213318,0.0007492788718082011,0.7805991768836975,21.61634,21.82980179786682
59,1.8899741172790527,0.78514874,0.7825470566749573,0.0005910189356654882,0.7818079590797424,21.485126,21.745294332504272
60,1.921696424484253,0.785558,0.7832015156745911,0.000661598052829504,0.782465398311615,21.444202,21.679848432540894
61,1.9517364501953125,0.7856295,0.7839422821998596,0.0006855091196484864,0.7830437421798706,21.43705,21.605771780014038
62,1.9823791980743408,0.78662145,0.7847325205802917,0.0006700353696942329,0.783820390701294,21.337854,21.526747941970825
63,2.016101598739624,0.7882229,0.7855395674705505,0.0006136033334769309,0.7847012281417847,21.17771,21.446043252944946
64,2.04819393157959,0.7898711,0.7861278653144836,0.000686646206304431,0.7854211330413818,21.01289,21.387213468551636
65,2.0809667110443115,0.79029495,0.786855161190033,0.0009145632502622902,0.7860132455825806,20.970505,21.314483880996704
66,2.1128203868865967,0.79029495,0.7876585125923157,0.0010529429418966174,0.7865662574768066,20.970505,21.234148740768433
67,2.1368093490600586,0.7916449,0.7887394428253174,0.0010508558480069041,0.7873743772506714,20.835512,21.12605571746826
68,2.1686294078826904,0.79271704,0.7899667620658875,0.0008634069818072021,0.788718581199646,20.728296,21.003323793411255
69,2.2016780376434326,0.79332507,0.7908071875572205,0.0007864295621402562,0.789871096611023,20.667494,20.919281244277954
70,2.2315356731414795,0.7934013,0.791591465473175,0.0006497480790130794,0.7905767560005188,20.65987,20.840853452682495
71,2.2636911869049072,0.7935249,0.7922323942184448,0.0005145106115378439,0.7915987968444824,20.647509,20.776760578155518
72,2.2974772453308105,0.7942084,0.7928134202957153,0.00046215549809858203,0.7921185493469238,20.579159,20.718657970428467
73,2.330579996109009,0.7942084,0.7932764887809753,0.00027458573458716273,0.7928520441055298,20.579159,20.672351121902466
74,2.3585329055786133,0.7943861,0.7935498356819153,0.0002446044236421585,0.7932753562927246,20.561392,20.64501643180847
75,2.388537883758545,0.79462796,0.7938149571418762,0.00025894635473378,0.7934854030609131,20.537203,20.618504285812378
76,2.4206743240356445,0.79555047,0.7941181659698486,0.00029054825427010655,0.7937731742858887,20.444954,20.588183403015137
77,2.4524402618408203,0.79557025,0.7944471836090088,0.0003084372729063034,0.7941209077835083,20.442974,20.55528163909912
78,2.4841012954711914,0.79866946,0.7947958111763,0.00045376006164588034,0.7943861484527588,20.133055,20.520418882369995
79,2.5162196159362793,0.79866946,0.7952308654785156,0.0005598850548267365,0.794705331325531,20.133055,20.476913452148438
80,2.543027400970459,0.79957443,0.7958164811134338,0.0008951709023676813,0.7951573133468628,20.042557,20.418351888656616
81,2.576652765274048,0.8002083,0.7965407371520996,0.0012756641954183578,0.7955504655838013,19.979174,20.34592628479004
82,2.608997344970703,0.8002478,0.7977381944656372,0.0014586923643946648,0.7960129976272583,19.975222,20.22618055343628
83,2.6412205696105957,0.80066663,0.799368679523468,0.000598491751588881,0.798479437828064,19.933336,20.0631320476532
84,2.6765329837799072,0.8008981,0.7999312877655029,0.00035556673537939787,0.7994381189346313,19.910192,20.006871223449707
85,2.7126314640045166,0.80163854,0.8002826571464539,0.00032165090669877827,0.7998534440994263,19.836145,19.971734285354614
86,2.746701717376709,0.80163854,0.8006502389907837,0.0003575049922801554,0.8002281188964844,19.836145,19.93497610092163
87,2.7724146842956543,0.8024514,0.8010356426239014,0.0003858058189507574,0.8006026744842529,19.754864,19.896435737609863
88,2.804176092147827,0.8031227,0.8014699220657349,0.00039296914474107325,0.8009578585624695,19.68773,19.853007793426514
89,2.8387210369110107,0.8039837,0.8018974661827087,0.0004514974425546825,0.8014266490936279,19.601631,19.810253381729126
90,2.87263560295105,0.8039837,0.8023245334625244,0.0004983653197996318,0.8017611503601074,19.601631,19.76754665374756
91,2.899625539779663,0.80473727,0.8028972148895264,0.0005663062329404056,0.8022592067718506,19.526274,19.710278511047363
92,2.931962490081787,0.8064194,0.8034660816192627,0.0006405997555702925,0.8027540445327759,19.358063,19.65339183807373
93,2.9654417037963867,0.8064194,0.8041634559631348,0.0007112493622116745,0.8032538890838623,19.358063,19.583654403686523
94,2.991636276245117,0.80672777,0.8049046397209167,0.0006943439366295934,0.8039870858192444,19.327223,19.509536027908325
95,3.0226879119873047,0.8068182,0.8056260347366333,0.0005982601433061063,0.8047372698783875,19.318182,19.43739652633667
96,3.0520341396331787,0.80689675,0.8061983585357666,0.0003481722960714251,0.8056657910346985,19.310326,19.38016414642334
97,3.0831024646759033,0.8070597,0.8065527677536011,0.00016421079635620117,0.8062707185745239,19.29403,19.344723224639893
98,3.114180564880371,0.8072127,0.8067251443862915,0.00014178633864503354,0.8065200448036194,19.278728,19.32748556137085
99,3.146740198135376,0.8075025,0.8068758249282837,0.00014170828217174858,0.8067166805267334,19.249748,19.31241750717163
100,3.1788530349731445,0.80802464,0.8070313334465027,0.0001650974591029808,0.8068538308143616,19.197536,19.29686665534973
